ISO3,Latitude,Longitude
RUS,64.6863136,97.7453061
PHL,12.7503486,122.7312101
NZL,-41.5000831,172.8344077
AIA,18.1954947,-63.0750234
BRA,-10.3333333,-53.2
PER,-6.8699697,-75.0458515
ECU,-1.3397668,-79.3666965
VNM,15.9266657,107.9650855
GBR,54.7023545,-3.2765753
IDN,-2.4833826,117.8902853
KAZ,48.1012954,66.7780818
TUN,36.8002068,10.1857757
BOL,-17.0568696,-64.9912286
UGA,1.5333554,32.2166578
ARG,-34.9964963,-64.9672817
MMR,17.1750495,95.9999652
ZMB,-14.5189121,27.5589884
MEX,23.6585116,-102.0077097
UKR,49.4871968,31.2718321
TUV,-8.6405212,179.1582918181797
DEU,51.1638175,10.4478313
IRL,52.865196,-7.9794599
GIN,10.7226226,-10.7083587
ITA,42.6384261,12.674297
KEN,1.4419683,38.4313975
KGZ,41.5089324,74.724091
TTO,10.7466905,-61.0840075
EST,58.7523778,25.3319078
BLR,53.4250605,27.6971358
IRN,32.6475314,54.5643516
GRC,38.9953683,21.9877132
SXM,,
EGY,26.2540493,29.2675469
DNK,55.670249,10.3333283
ESP,39.3260685,-4.8379791
SEN,14.4750607,-14.4529612
TKM,39.3763807,59.3924609
CAN,61.0666922,-107.991707
BEL,50.6402809,4.6667145
GRL,43.0361995,-70.8328322
FJI,-18.1239696,179.0122737
BHS,24.7736546,-78.0000547
BEN,9.5293472,2.2584408
BIH,44.3053476,17.5961467
FIN,63.2467777,25.9209164
BRB,13.1500331,-59.5250305
BRN,4.4137155,114.5653908
ABW,12.5013629,-69.9618475
ALA,60.2166218,19.9438638
ALB,5.7587654,-73.9151617
AND,42.5407167,1.5732033
AUT,47.59397,14.12456
ATF,-49.237441950000004,69.62275903679347
FRA,46.603354,1.8883335
BGR,42.6073975,25.4856617
BES,,
CYM,19.703182249999998,-79.9174627243246
BGD,24.4769288,90.2934413
BLM;GLP;MAF;MTQ,17.8967693,-62.825598
DOM,19.0974031,-70.3028026
BWA,-23.1681782,24.5928742
CZE,49.7439047,15.3381061
DJI,11.8145966,42.8453061
DMA,15.4113138,-61.3653618
CHE,46.7985624,8.2319736
CUW,12.1176488,-68.9309263
COM,-12.2045176,44.2832964
CYP,34.9174159,32.889902651331866
FLK,-51.9492937,-59.5383657
FRA;ITA;MCO,46.603354,1.8883335
FRO,62.198870400000004,-6.817845062972005
HUN,47.1817585,19.5060937
ISL,64.9841821,-18.1059013
NLD,52.2434979,5.6343227
PRT,39.6621648,-8.1353519
SWE,59.6749712,14.5208584
IND,22.3511148,78.6677428
GHA,8.0300284,-1.0800271
NOR,64.5731537,11.52803643954819
GGY,49.46229125,-2.5812022503294356
HTI,19.1399952,-72.3570972
TWN,,
GLP,16.2528827,-61.5686855
GUF,4.0039882,-52.999998
HKG,22.350627,114.1849161
HRV,45.3658443,15.6575209
HND,15.2572432,-86.0755145
LKA,7.5554942,80.7137847
CHN,35.0000663,104.999955
IRQ,33.0955793,44.1749775
ISR,30.8124247,34.8594762
JAM,18.1850507,-77.3947693
KIR,0.3448612,173.6641773
LBN,40.375713,-76.4626118
LBR,5.7499721,-9.3658524
LCA,13.8250489,-60.975036
NPL,28.3780464,83.9999901
NIC,12.6090157,-85.2936911
LIE,47.1416307,9.5531527
SHN,,
SJM,78.7198519,20.3493328
VUT,-16.5255069,168.1069154
SSD,7.8699431,29.6667897
POL,52.215933,19.134422
LTU,55.3500003,23.7499997
LVA,56.8406494,24.7537645
MAF,18.0814066,-63.0467131
MCO,43.7323492,7.4276832
MHL,8.9995549,168.0002575
MNG,46.8250388,103.8499736
MKD,41.6171214,21.7168387
MWI,-13.2687204,33.9301963
MNE,-29.6826112,-51.4687455
MRT,20.2540382,-9.2399263
MSR,16.7417041,-62.1916844
MTQ,14.6113732,-60.9620777
MYT,-12.823048,45.1520755
ROU,45.9852129,24.6859225
SDN,34.0678644,-102.524362
SGP,1.357107,103.8194992
TCA,21.721746,-71.5527809
SUR,4.1413025,-56.0771187
SVK,48.7411522,19.4528646
TJK,38.6281733,70.8156541
SVN,46.1199444,14.8153333
TON,-19.9160819,-175.202642
TUR,39.294076,35.2316631
TLS,-8.7443169,126.063482
SLB,-8.7053941,159.1070693851845
KHM,12.5433216,104.8144914
VGB,18.4024395,-64.5661642
USA,39.7837304,-100.445882
VCT,12.90447,-61.2765569
VIR,17.789187,-64.7080574
COK,-19.99697155,-157.78587140620786
JEY,49.2214561,-2.1358386
GTM,15.5855545,-90.345759
COL,4.099917,-72.9088133
MOZ,-19.302233,34.9144977
AFG,33.7680065,66.2385139
COG,-2.9814344,23.8222636
RWA,-1.9646631,30.0644358
NCL,-20.63784275,161.21176261225781
VEN,8.0018709,-66.1109318
KNA,17.250512,-62.6725973
PLW,42.5717989,2.9600905
SGS,-54.8432857,-35.8090698
CRI,10.2735633,-84.0739102
WSM,-13.7693895,-172.12005
KWT,29.3796532,47.9734174
CUB,23.0131338,-80.8328748
PNG,-5.6816069,144.2489081
NIU,-19.0536414,-169.861341
AZE,40.3936294,47.7872508
URY,-32.8755548,-56.0201525
TZA,-6.5247123,35.7878438
DZA,28.0000272,2.9999825
BDI,-3.426449,29.9324519
CAF,7.0323598,19.9981227
COD,-2.9814344,23.8222636
GAB,-0.8999695,11.6899699
GNQ,1.613172,10.5170357
TCD,15.6134137,19.0156172
STP,0.9713095,7.02255
ARE,24.0002488,53.9994829
MLT,35.8885993,14.4476911
NER,17.7356214,9.3238432
BFA;NER;BEN,12.0753083,-1.6880314
SWZ,-26.5624806,31.3991317
GUY,4.8417097,-58.6416891
GNB,11.815215,-15.2351044
MLI,16.3700359,-2.2900239
SYC,-4.6574977,55.4540146
SLV,13.8000382,-88.9140683
QAT,25.3336984,51.2295295
GRD,12.1360374,-61.6904045
TGO,8.7800265,1.0199765
BFA,12.0753083,-1.6880314
CMR,4.6125522,13.1535811
MYS,4.5693754,102.2656823
THA,14.8971921,100.83273
ATG,17.2234721,-61.9554608
ARM,4.536307,-75.6723751
AGO,-11.8775768,17.5691241
ASM,-14.297124,-170.7131481
PRI,18.2247706,-66.4858295
ZWE,-18.4554963,29.7468414
ETH,10.2116702,38.6521203
SLE,8.6400349,-11.8400269
PCN,40.4031245,-79.778102
ERI,15.9500319,37.9999668
JPN,36.5748441,139.2394179
ABNJ,,
PAN,8.559559,-81.1308434
BHR,26.030093,50.553336789123236
LAO,20.0171109,103.378253
UZB,41.32373,63.9528098
PSE,42.2089038065726,-79.46849684080372
UMI,28.23605105,-177.36856316535344
MNP,15.1753648,145.7379338
GUM,13.4499943,144.7651677
MNP;GUM,15.1753648,145.7379338
NGA,9.6000359,7.9999721
IMN,54.1936805,-4.5591148
MAR,28.3347722,-10.371337908392647
OMN,21.0000287,57.0036901
NAM,-23.2335499,17.3231107
KOR,36.638392,127.6961188
BMU,32.3040273,-64.7563086
MNP;UMI,15.1753648,145.7379338
JOR,44.6663146,-93.6261918
MAR;ESP,28.3347722,-10.371337908392647
SRB,44.024322850000004,21.07657433209902
CPV,16.0000552,-24.0083947
MDA,47.0229142,28.8299748
GIB,36.1285933,-5.3474761
GEO,32.3293809,-83.1137366
LUX,49.6112768,6.129799
MUS,-20.2759451,57.5703566
AUS,-24.7761086,134.755
YEM,16.3471243,47.8915271
CIV,7.9897371,-5.5679458
ATA,-72.8438691,0.0
CXR,-10.4837768,105.64723
MKD;ALB,41.6171214,21.7168387
MDG,-18.9249604,46.4416422
AZE;IRN,40.3936294,47.7872508
COG;CMR;CAF,-2.9814344,23.8222636
KAZ;TKM;UZB,48.1012954,66.7780818
DEU;SVK;ALB;AUT;BEL;BGR;ESP;HRV;ITA;ROU;SVN;UKR,51.1638175,10.4478313
BLR;POL,53.4250605,27.6971358
CRI;PAN,10.2735633,-84.0739102
ZMB;ZWE,-14.5189121,27.5589884
CHE;ITA,46.7985624,8.2319736
CAN;USA,61.0666922,-107.991707
SVK;HUN,48.7411522,19.4528646
FRA;ESP,46.603354,1.8883335
MNG;RUS,46.8250388,103.8499736
REU,-21.1309332,55.5265771
NLD;DEU;DNK,52.2434979,5.6343227
UZB;KGZ;KAZ,41.32373,63.9528098
FIN;SWE,63.2467777,25.9209164
CIV;GIN,7.9897371,-5.5679458
CCK,-12.0728315,96.8409375
HMD,-53.0166353,72.955751
NFK,-29.0328038,167.9483137
CHL,-31.7613365,-71.3187697
BVT,-54.4215,3.35744155625
BLM,17.8967693,-62.825598
SPM,46.8374544,-56.2120555
ZAF,-28.8166236,24.991639
SAU,25.6242618,42.3528328
PAK,30.3308401,71.247499
GMB,13.470062,-15.4900464
BLZ,17.1204943,-88.6859028
MDV,3.7203503,73.2244152
PRY,-23.3165935,-58.1693445
BTN,27.549511,90.5119273
LSO,-29.6039267,28.3350193
LSO;ZAF,-29.6039267,28.3350193
SYR,34.8147886,38.42317811509885
PYF,-17.0243749,-144.6434898
PRK,38.233686649999996,127.00873073371443
WLF,-13.289402,-176.204224
FSM,8.6062347,151.832744331612
TKL,-9.1676396,-171.819687
PRT;ESP,39.6621648,-8.1353519
TGO;BEN,8.7800265,1.0199765
LBY,26.8234472,18.1236723
SOM,8.3676771,49.083416
